date;BTS Comdty;CN Comdty;DU Comdty;FV Comdty;G  Comdty;IK Comdty;JB Comdty;KAA Comdty;KE Comdty;OAT Comdty;OE Comdty;RX Comdty;TFC Comdty;TFS Comdty;TFT Comdty;TU Comdty;TY Comdty;UB Comdty;US Comdty;UXY Comdty;WN Comdty;XM Comdty;XQ Comdty;YM Comdty
1977-08-22;;;;;;;;;;;;;;;;;;;100.0;;;;;
1977-08-23;;;;;;;;;;;;;;;;;;;100.3968253968;;;;;
1977-08-24;;;;;;;;;;;;;;;;;;;100.2747252747;;;;;
1977-08-25;;;;;;;;;;;;;;;;;;;100.7020757021;;;;;
1977-08-26;;;;;;;;;;;;;;;;;;;100.6715506716;;;;;
1977-08-29;;;;;;;;;;;;;;;;;;;100.7631257631;;;;;
1977-08-30;;;;;;;;;;;;;;;;;;;100.6715506716;;;;;
1977-08-31;;;;;;;;;;;;;;;;;;;100.7326007326;;;;;
1977-09-01;;;;;;;;;;;;;;;;;;;100.6715506716;;;;;
1977-09-02;;;;;;;;;;;;;;;;;;;101.0683760684;;;;;
1977-09-06;;;;;;;;;;;;;;;;;;;101.0378510379;;;;;
1977-09-07;;;;;;;;;;;;;;;;;;;100.8547008547;;;;;
1977-09-08;;;;;;;;;;;;;;;;;;;100.9157509158;;;;;
1977-09-09;;;;;;;;;;;;;;;;;;;100.3052503053;;;;;
1977-09-12;;;;;;;;;;;;;;;;;;;100.3663003663;;;;;
1977-09-13;;;;;;;;;;;;;;;;;;;100.6715506716;;;;;
1977-09-14;;;;;;;;;;;;;;;;;;;100.641025641;;;;;
1977-09-15;;;;;;;;;;;;;;;;;;;100.7936507937;;;;;
1977-09-16;;;;;;;;;;;;;;;;;;;100.8547008547;;;;;
1977-09-19;;;;;;;;;;;;;;;;;;;100.8547008547;;;;;
1977-09-20;;;;;;;;;;;;;;;;;;;100.7020757021;;;;;
1977-09-21;;;;;;;;;;;;;;;;;;;100.8241758242;;;;;
1977-09-22;;;;;;;;;;;;;;;;;;;100.4578754579;;;;;
1977-09-23;;;;;;;;;;;;;;;;;;;100.57997558;;;;;
1977-09-26;;;;;;;;;;;;;;;;;;;100.3968253968;;;;;
1977-09-27;;;;;;;;;;;;;;;;;;;100.6715506716;;;;;
1977-09-28;;;;;;;;;;;;;;;;;;;100.6105006105;;;;;
1977-09-29;;;;;;;;;;;;;;;;;;;100.6105006105;;;;;
1977-09-30;;;;;;;;;;;;;;;;;;;100.57997558;;;;;
1977-10-03;;;;;;;;;;;;;;;;;;;100.3052503053;;;;;
1977-10-04;;;;;;;;;;;;;;;;;;;100.3968253968;;;;;
1977-10-05;;;;;;;;;;;;;;;;;;;100.3968253968;;;;;
1977-10-06;;;;;;;;;;;;;;;;;;;100.2442002442;;;;;
1977-10-07;;;;;;;;;;;;;;;;;;;100.0;;;;;
1977-10-10;;;;;;;;;;;;;;;;;;;99.8778998779;;;;;
1977-10-11;;;;;;;;;;;;;;;;;;;99.5421245421;;;;;
1977-10-12;;;;;;;;;;;;;;;;;;;99.2673992674;;;;;
1977-10-13;;;;;;;;;;;;;;;;;;;99.2673992674;;;;;
1977-10-14;;;;;;;;;;;;;;;;;;;99.5115995116;;;;;
1977-10-17;;;;;;;;;;;;;;;;;;;99.358974359;;;;;
1977-10-18;;;;;;;;;;;;;;;;;;;99.2979242979;;;;;
1977-10-19;;;;;;;;;;;;;;;;;;;99.4810744811;;;;;
1977-10-20;;;;;;;;;;;;;;;;;;;99.6031746032;;;;;
1977-10-21;;;;;;;;;;;;;;;;;;;99.4505494505;;;;;
1977-10-24;;;;;;;;;;;;;;;;;;;99.4810744811;;;;;
1977-10-25;;;;;;;;;;;;;;;;;;;99.2368742369;;;;;
1977-10-26;;;;;;;;;;;;;;;;;;;99.2673992674;;;;;
1977-10-27;;;;;;;;;;;;;;;;;;;99.2979242979;;;;;
1977-10-28;;;;;;;;;;;;;;;;;;;99.2673992674;;;;;
1977-10-31;;;;;;;;;;;;;;;;;;;98.778998779;;;;;
1977-11-01;;;;;;;;;;;;;;;;;;;98.4737484737;;;;;
1977-11-02;;;;;;;;;;;;;;;;;;;98.4126984127;;;;;
1977-11-03;;;;;;;;;;;;;;;;;;;98.4126984127;;;;;
1977-11-04;;;;;;;;;;;;;;;;;;;98.6874236874;;;;;
1977-11-07;;;;;;;;;;;;;;;;;;;98.9621489621;;;;;
1977-11-08;;;;;;;;;;;;;;;;;;;99.1452991453;;;;;
1977-11-09;;;;;;;;;;;;;;;;;;;99.1147741148;;;;;
1977-11-10;;;;;;;;;;;;;;;;;;;99.1452991453;;;;;
1977-11-11;;;;;;;;;;;;;;;;;;;99.6336996337;;;;;
1977-11-14;;;;;;;;;;;;;;;;;;;99.3894993895;;;;;
1977-11-15;;;;;;;;;;;;;;;;;;;99.2979242979;;;;;
1977-11-16;;;;;;;;;;;;;;;;;;;99.4505494505;;;;;
1977-11-17;;;;;;;;;;;;;;;;;;;99.3894993895;;;;;
1977-11-18;;;;;;;;;;;;;;;;;;;99.5726495726;;;;;
1977-11-21;;;;;;;;;;;;;;;;;;;99.3894993895;;;;;
1977-11-22;;;;;;;;;;;;;;;;;;;99.5421245421;;;;;
1977-11-23;;;;;;;;;;;;;;;;;;;99.6646379262;;;;;
1977-11-25;;;;;;;;;;;;;;;;;;;99.5421245421;;;;;
1977-11-28;;;;;;;;;;;;;;;;;;;99.5727528881;;;;;
1977-11-29;;;;;;;;;;;;;;;;;;;99.5114961961;;;;;
1977-11-30;;;;;;;;;;;;;;;;;;;99.32772612;;;;;
1977-12-01;;;;;;;;;;;;;;;;;;;99.297097774;;;;;
1977-12-02;;;;;;;;;;;;;;;;;;;99.17458439;;;;;
1977-12-05;;;;;;;;;;;;;;;;;;;99.0214426599;;;;;
1977-12-06;;;;;;;;;;;;;;;;;;;98.7457875458;;;;;
1977-12-07;;;;;;;;;;;;;;;;;;;98.6539025077;;;;;
1977-12-08;;;;;;;;;;;;;;;;;;;98.8683009298;;;;;
1977-12-09;;;;;;;;;;;;;;;;;;;98.8376725838;;;;;
1977-12-12;;;;;;;;;;;;;;;;;;;98.6845308538;;;;;
1977-12-13;;;;;;;;;;;;;;;;;;;98.5926458157;;;;;
1977-12-14;;;;;;;;;;;;;;;;;;;98.4395040857;;;;;
1977-12-15;;;;;;;;;;;;;;;;;;;98.3169907016;;;;;
1977-12-16;;;;;;;;;;;;;;;;;;;98.2863623556;;;;;
1977-12-19;;;;;;;;;;;;;;;;;;;97.8269371654;;;;;
1977-12-20;;;;;;;;;;;;;;;;;;;97.4593970132;;;;;
1977-12-21;;;;;;;;;;;;;;;;;;;97.5819103973;;;;;
1977-12-22;;;;;;;;;;;;;;;;;;;97.4287686672;;;;;
1977-12-23;;;;;;;;;;;;;;;;;;;97.4287686672;;;;;
1977-12-27;;;;;;;;;;;;;;;;;;;97.2449985912;;;;;
1977-12-28;;;;;;;;;;;;;;;;;;;97.1224852071;;;;;
1977-12-29;;;;;;;;;;;;;;;;;;;96.816201747;;;;;
1977-12-30;;;;;;;;;;;;;;;;;;;97.5512820513;;;;;
1978-01-03;;;;;;;;;;;;;;;;;;;96.908086785;;;;;
1978-01-04;;;;;;;;;;;;;;;;;;;96.999971823;;;;;
1978-01-05;;;;;;;;;;;;;;;;;;;96.816201747;;;;;
1978-01-06;;;;;;;;;;;;;;;;;;;96.3567765568;;;;;
1978-01-09;;;;;;;;;;;;;;;;;;;96.6018033249;;;;;
1978-01-10;;;;;;;;;;;;;;;;;;;95.5910679065;;;;;
